Date,Open,High,Low,Close,Adj Close,Volume
1/31/2020,70.989998,70.989998,69.910004,70.18,69.915985,957400
2/3/2020,70.290001,70.900002,70.25,70.480003,70.214859,1814800
2/4/2020,72.169998,73.860001,71.160004,73,72.725372,1578700
2/5/2020,70.660004,71.059998,70.349998,70.510002,70.244743,1799000
2/6/2020,70.970001,71.550003,70.970001,71.550003,71.28083,662600
2/7/2020,71,71.25,69.709999,70.089996,69.826317,1462400
2/10/2020,70.129997,70.209999,69.629997,70.169998,69.906021,929300
2/11/2020,70.629997,70.849998,70.190002,70.32,70.055458,852000
2/12/2020,70.300003,70.790001,70.300003,70.769997,70.503761,587900
2/13/2020,69.919998,69.919998,69.510002,69.599998,69.338165,910300
2/14/2020,69.480003,69.529999,68.459999,68.830002,68.57106,1485200
2/18/2020,66.419998,67.089996,66.099998,66.639999,66.389297,2345700
2/19/2020,66.959999,67.370003,66.870003,67.07,66.81768,1234900
2/20/2020,66.910004,67.169998,66.029999,66.739998,66.488922,1326100
2/21/2020,66.949997,67,65.75,65.940002,65.691933,906900
2/24/2020,64,64.580002,63.509998,63.93,63.689495,1413800
2/25/2020,65.25,65.5,63.130001,63.580002,63.340813,2226400
2/26/2020,64.360001,64.830002,63.779999,63.939999,63.699455,1553400
2/27/2020,61.91,62.720001,60.880001,60.889999,60.660931,2006000
2/28/2020,59.490002,62.459999,59.349998,62.200001,61.966003,2723300
3/2/2020,63.599998,64.260002,62.310001,64.160004,63.918633,2117900
3/3/2020,63.77,64.510002,62.560001,63.18,62.942318,1714500
3/4/2020,63.779999,64.949997,63.57,64.790001,64.546257,1223800
3/5/2020,63.849998,63.990002,62.919998,63.439999,63.201336,1259900
3/6/2020,62.799999,63.240002,62.16,63.119999,62.882542,1165600
3/9/2020,58.189999,60.470001,58,58.529999,58.309807,1374800
3/10/2020,61.09,61.150002,59.060001,60.330002,60.103039,3117300
3/11/2020,58.950001,59.349998,57.439999,57.790001,57.572594,1349800
3/12/2020,54.529999,55.470001,51.5,52.57,52.372231,2072100
3/13/2020,56.349998,56.669998,53.290001,56.32,56.108124,2012300
3/16/2020,52,53.860001,50.939999,51.68,51.48558,1458900
3/17/2020,53.41,55.369999,52.650002,55.200001,54.992336,1702400
3/18/2020,54.779999,58.099998,52.080002,54.790001,54.583881,3626500
3/19/2020,54.860001,56.040001,53.599998,55.400002,55.191586,2382900
3/20/2020,56.48,56.900002,52.82,53.060001,52.86039,1613000
3/23/2020,53.939999,54.400002,51.580002,52.900002,52.700993,1592600
3/24/2020,56.299999,57,55.560001,57,56.785564,2281900
3/25/2020,58.380001,59.330002,56.32,57.68,57.463009,1225000
3/26/2020,58.66,60.509998,58,60.5,60.2724,1465400
3/27/2020,59.599998,60.599998,58.720001,59.32,59.32,1943400
3/30/2020,59.939999,60.450001,59.139999,60.169998,60.169998,1215200
3/31/2020,59.27,60.5,58.610001,59.18,59.18,1057900
